Seed  np arch1 arch2 chi2/dat duration
2853 105 10 7 1.15887 165.761
2176 105 10 7 0.60395 180.262
2385 105 10 7 0.772524 210.426
2267 105 10 7 0.704436 185.617
5282 105 10 7 19.1008 184.517
9564 105 10 7 0.405453 201.084
1932 105 10 7 356.058 194.806
8359 105 10 7 5.97007 190.161
2526 105 10 7 2.22651 204.9
8138 105 10 7 0.959349 176.924
6149 105 10 7 147.677 2.91883
8944 105 10 7 93.1093 2.67994
9209 105 10 7 25.048 211.064
3929 105 10 7 0.407989 214.502
4251 105 10 7 27.9283 203.371
7832 105 10 7 112.666 161.454
1012 105 10 7 0.757677 137.351
4000 105 10 7 25.3034 200.555
489 105 10 7 59.5205 160.425
7834 105 10 7 3.17258 186.552
4883 105 10 7 48.1517 197.284
855 105 10 7 141.699 189.745
829 105 10 7 1.51062 175.037
5249 105 10 7 187.212 3.92227
6687 105 10 7 9.72092 209.456
1524 105 10 7 0.890583 162.414
2480 105 10 7 29.1819 158.168
3212 105 10 7 31.2802 216.703
7472 105 10 7 70.8264 226.521
9427 105 10 7 0.628943 209.764
7012 105 10 7 17.8622 230.254
22 105 10 7 1.6883 215.371
3382 105 10 7 533.243 228.188
7030 105 10 7 0.610848 221.271
5991 105 10 7 116.759 2.19605
3118 105 10 7 198.002 234.802
3488 105 10 7 220.275 177.322
7288 105 10 7 6.42162 167.031
3195 105 10 7 40.666 231.81
9072 105 10 7 353.025 158.837
8348 105 10 7 1.39701 204.003
7614 105 10 7 505.621 2.45795
2675 105 10 7 2.81665 220.442
2254 105 10 7 178.031 154.944
7967 105 10 7 134.198 202.208
3036 105 10 7 0.357635 200.724
2180 105 10 7 4.28158 171.413
6672 105 10 7 0.516837 216.066
9934 105 10 7 0.520996 216.331
3907 105 10 7 1.14732 218.837
5777 105 10 7 2.29743 223.837
