Seed  np arch1 arch2 chi2/dat duration
9104 47 8 3 36.2459 100.426
4136 47 8 3 146.262 1.07875
615 47 8 3 117.648 8.3936
5048 47 8 3 107.991 99.9039
1036 47 8 3 19.9327 72.2039
8642 47 8 3 1218.91 2.23675
2890 47 8 3 5188.93 1.17856
1295 47 8 3 139.949 0.850352
2944 47 8 3 201.248 0.956582
7152 47 8 3 295.638 1.91415
4867 47 8 3 770.408 0.634781
684 47 8 3 1.76812 74.4757
6588 47 8 3 329.625 0.634889
881 47 8 3 201.893 65.8326
1344 47 8 3 765.154 1.27582
4913 47 8 3 62.237 0.638922
4216 47 8 3 47.7789 80.7889
4744 47 8 3 0.604331 101.482
9796 47 8 3 127.134 0.742854
2833 47 8 3 8.08754 94.0526
844 47 8 3 0.727006 102.681
5540 47 8 3 0.819002 85.5788
8742 47 8 3 218.733 98.1623
3366 47 8 3 69.1766 81.9909
2818 47 8 3 133.315 88.7914
6853 47 8 3 40.9417 80.995
4767 47 8 3 50.9905 0.741806
2060 47 8 3 21343.3 0.63714
9679 47 8 3 239.166 82.112
4711 47 8 3 72272.4 69.125
545 47 8 3 527.357 1.16856
3270 47 8 3 80.2993 91.1377
4683 47 8 3 11.8136 93.7318
105 47 8 3 937.011 0.849459
8050 47 8 3 9.05162 88.9011
314 47 8 3 4.35732 80.7903
376 47 8 3 58.3133 76.8282
1425 47 8 3 61.3206 79.3035
7869 47 8 3 4330.24 55.8377
5583 47 8 3 325.987 89.451
9601 47 8 3 170.951 102.232
6828 47 8 3 32.9978 66.7178
1699 47 8 3 801.464 92.4384
8095 47 8 3 2.25183 81.9619
4962 47 8 3 2.36902 92.1212
2902 47 8 3 6035.67 3.2968
7303 47 8 3 307.713 0.753869
2444 47 8 3 16.3663 83.3143
4776 47 8 3 21.2436 75.6785
4206 47 8 3 116.307 0.636534
1053 47 8 3 3.62619 72.9027
